source,title,company,location,posted_at,description,url
prosple,Software Development Engineer Intern - Stores,Amazon Australia and New Zealand,Brisbane,,,https://au.prosple.com/graduate-employers/amazon-australia-new-zealand/jobs-internships/software-development-engineer-intern-stores-0
prosple,Software Engineer,Jane Street,Hong Kong,,,https://au.prosple.com/graduate-employers/jane-street/jobs-internships/software-engineer-1
prosple,Software Development Engineer Intern - AWS,Amazon Australia and New Zealand,Sydney,,,https://au.prosple.com/graduate-employers/amazon-australia-new-zealand/jobs-internships/software-development-engineer-intern-aws-0
prosple,"Software Development Engineer - 2025 Graduate, AWS",Amazon Australia and New Zealand,Sydney,,,https://au.prosple.com/graduate-employers/amazon-australia-new-zealand/jobs-internships/software-development-engineer-2025-graduate-aws
prosple,Software Development Engineer Graduate - AWS,Amazon Australia and New Zealand,Sydney,,,https://au.prosple.com/graduate-employers/amazon-australia-new-zealand/jobs-internships/software-development-engineer-graduate-aws
prosple,"Software Development Engineer - 2026 Graduate, AWS",Amazon Australia and New Zealand,Sydney,,,https://au.prosple.com/graduate-employers/amazon-australia-new-zealand/jobs-internships/software-development-engineer-2026-graduate-aws
prosple,Aditional Opening - Software Development Engineer - Stores,Amazon Australia and New Zealand,Brisbane,,,https://au.prosple.com/graduate-employers/amazon-australia-new-zealand/jobs-internships/aditional-opening-software-development-engineer-stores
prosple,Software Development Engineer Graduate - Stores,Amazon Australia and New Zealand,Brisbane,,,https://au.prosple.com/graduate-employers/amazon-australia-new-zealand/jobs-internships/software-development-engineer-graduate-stores
prosple,Quant Trader Developer Software Engineering,Tibra Capital,"Austinmer, NSW",,,https://au.prosple.com/graduate-employers/tibra-capital/jobs-internships/quant-trader-developer-software-engineering-0
prosple,"Software Dev Engineer Graduate - Sydney, AWS",Amazon Australia and New Zealand,Sydney,,,https://au.prosple.com/graduate-employers/amazon-australia-new-zealand/jobs-internships/software-dev-engineer-graduate-sydney-aws
prosple,"Software Development Engineer - 2026 Graduate, Stores",Amazon Australia and New Zealand,Brisbane,,,https://au.prosple.com/graduate-employers/amazon-australia-new-zealand/jobs-internships/software-development-engineer-2026-graduate-stores
prosple,Software Development Engineer Graduate - Ads Core Services,Amazon Australia and New Zealand,Melbourne,,,https://au.prosple.com/graduate-employers/amazon-australia-new-zealand/jobs-internships/software-development-engineer-graduate-ads-core-services-0
prosple,"Graduate Program, Early 2026: Software Development",Capgemini Australia and New Zealand,"Melbourne, Sydney, Perth, Adelaide, Brisbane, Canberra & Hobart",,,https://au.prosple.com/graduate-employers/capgemini-australia-and-new-zealand/jobs-internships/graduate-program-early-2026-software-development
